task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	77.60820710183887	77.60820710183887	6.679922991771878	0.0	25.673658770905174	77.60820710183887
1	77.95488483925266	155.56309194109147	13.154309918996121	0.0	38.02465935770586	77.95488483925266
2	78.59982498112913	234.1629169222205	19.525775263179252	0.0	51.5438137361742	78.59982498112913
3	79.97274873817666	314.1356656603973	27.167724304288612	0.0	57.193811237277046	79.97274873817666
4	78.88380071065478	393.019466371052	35.10711247246586	0.0	61.794543092919795	78.88380071065478
5	81.1606471677934	474.18011353884555	44.297426657272325	0.0	66.41123244138676	81.1606471677934
6	79.19942053834602	553.3795340771915	51.769964878134296	0.0	73.78853336996868	79.19942053834602
7	79.09012804565837	632.46966212285	61.358986473294806	0.0	79.46916430499817	79.09012804565837
8	82.43642182034002	714.9060839431896	73.52799381510076	0.0	85.46180615928523	82.43642182034002
9	79.84522887781836	794.7513128210081	82.70185079456698	0.0	89.35401803990712	79.84522887781836
10	81.5508420799043	876.3021549009125	93.82521011315262	0.0	99.0072403293439	81.5508420799043
11	80.11738294662942	956.4195378475418	101.80950329447289	0.0	103.2407494584981	80.11738294662942
12	76.15000995598197	1032.5695478035234	106.87157858471532	0.0	106.42944439993299	76.15000995598197
13	83.25912988768935	1115.828677691213	119.60944084979339	0.0	114.79255676668372	83.25912988768935
14	73.85886615414384	1189.6875438453567	122.21627853005698	0.0	119.2610103512937	73.85886615414384
15	77.94357283922655	1267.6311166845826	128.08876369364435	0.0	124.58218746154186	77.94357283922655
16	82.81379824575319	1350.4449149303362	140.01301807893572	0.0	126.79843641345951	82.81379824575319
17	84.53024314097763	1434.9751580713141	153.21175759551465	0.0	136.52415936024278	84.53024314097763
18	78.8571201476588	1513.8322782189728	161.44552593891993	0.0	133.25257468987203	78.8571201476588
19	79.53553549497215	1593.3678137139455	169.85328603930284	0.0	136.04780154936623	79.53553549497215
20	77.97939931112961	1671.3472130250736	177.72285969887744	0.0	138.1903810077418	77.97939931112961
21	77.21483872219495	1748.5620517472696	184.07294290789778	0.0	139.53598975436603	77.21483872219495
22	77.7059749202937	1826.2680266675638	191.21030949748183	0.0	138.6503048786325	77.7059749202937
23	77.22878235172143	1903.4968090192845	198.78251810807123	0.0	140.66598367281935	77.22878235172143
24	73.46522664014164	1976.9620356594255	200.7705195174961	0.0	145.31886271263878	73.46522664014164
25	81.913156457085	2058.875192116511	212.17241102643752	0.0	152.9316977643687	81.913156457085
26	76.83052222796921	2135.70571434448	216.8105789064552	0.0	154.68952483226556	76.83052222796921
27	78.86138163777942	2214.5670959822596	225.01133656526417	0.0	159.14982359402632	78.86138163777942
28	79.98650333197598	2294.5535993142344	234.80147409918922	0.0	160.9046836437667	79.98650333197598
29	81.33463181481915	2375.8882311290545	245.73614733444782	0.0	163.26307661309	81.33463181481915
30	76.48709201784253	2452.375323146897	250.78066470480746	0.0	164.88105323995225	76.48709201784253
31	77.4455094588095	2529.8208326057065	255.9112702433221	0.0	171.7910387292109	77.4455094588095
32	74.57845560881876	2604.399288214525	258.4004860544282	0.0	172.23745221925876	74.57845560881876
33	79.21215733556136	2683.6114455500856	265.9853882379285	0.0	174.67122995801657	79.21215733556136
34	76.41016482670388	2760.0216103767902	269.51063630491126	0.0	174.62769157427385	76.41016482670388
35	76.55007508506974	2836.571685461858	273.9104640285059	0.0	176.3649705524054	76.55007508506974
36	79.80274236468456	2916.3744278265453	282.7382572808629	0.0	175.03825564917724	79.80274236468456
37	78.60484315684482	2994.9792709833882	290.0507542225833	0.0	171.03677565660996	78.60484315684482
38	78.47471004084692	3073.4539810242363	297.6912273439064	0.0	178.4269635311062	78.47471004084692
39	78.93677858689628	3152.3907596111308	305.00273283254194	0.0	181.1473203599868	78.93677858689628
40	78.84089740923952	3231.231657020374	311.9596793928163	0.0	182.99066355678465	78.84089740923952
41	80.35177196852742	3311.583428988901	320.459082204888	0.0	183.34522963621612	80.35177196852742
42	81.23366370980112	3392.8170926987	329.84836058885793	0.0	187.8249936371262	81.23366370980112
43	81.01358354683535	3473.830676245535	338.7355591630946	0.0	190.83566582834317	81.01358354683535
44	77.57566037040183	3551.4063366159367	346.31901377785124	0.0	187.93932522872308	77.57566037040183
45	79.51056355280569	3630.9169001687433	355.2489757935974	0.0	180.7031559694358	79.51056355280569
46	78.12561231206735	3709.0425124808094	361.9966758862091	0.0	180.25599905014977	78.12561231206735
47	80.65854046819648	3789.701052949007	371.6603229395412	0.0	181.0786783405805	80.65854046819648
48	76.77423484332799	3866.4752877923347	377.5421125547636	0.0	184.4982718801743	76.77423484332799
49	81.68425019669418	3948.159537989028	387.9706472530845	0.0	188.18078361777984	81.68425019669418
50	81.58207914286615	4029.7416171318964	399.54321696476177	0.0	193.02361898298955	81.58207914286615
