task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	72.67148641941789	72.67148641941789	1.2342044717263503	0.0	15.021185891657817	72.67148641941789
1	72.96239198881617	145.6338784082341	1.6037528241488586	0.0	21.953033730497108	72.96239198881617
2	75.39990459301016	221.0337830012443	5.442000065356103	0.0	30.901222124689536	75.39990459301016
3	76.01205601623673	297.0458390174809	10.206212562456578	0.0	39.186851890664684	76.01205601623673
4	76.87916898717992	373.9250080046609	15.946756838249192	0.0	46.70697080444833	76.87916898717992
5	76.81047856003214	450.73548656469296	20.942129086836804	0.0	53.78880694027768	76.81047856003214
6	75.36999159092363	526.1054781556165	25.38929158538935	0.0	55.03051401250149	75.36999159092363
7	74.43028446688353	600.5357626225	27.85137964813379	0.0	58.90751951410272	74.43028446688353
8	77.29814369213628	677.8339063146364	34.256025822424824	0.0	64.07840693215013	77.29814369213628
9	73.5107978272739	751.3447041419099	35.871311463676705	0.0	63.67577685827873	73.5107978272739
10	73.69214913640663	825.0368532783166	40.467574437819025	0.0	64.27124743127091	73.69214913640663
11	74.43323429006568	899.4700875683831	44.22301903240737	0.0	67.36228040034825	74.43323429006568
12	77.56954820380543	977.0396357721878	52.38386810057052	0.0	71.37007991365236	77.56954820380543
13	74.7460623267531	1051.7856980989418	55.47149214162619	0.0	72.17946710143282	74.7460623267531
14	75.20836192333977	1126.9940600222808	59.733770369050106	0.0	72.86516509487831	75.20836192333977
15	75.38408190129093	1202.3781419235718	64.82481325733633	0.0	76.38125954582871	75.38408190129093
16	73.92209913521913	1276.3002410587915	68.43816850720542	0.0	75.32050311177379	73.92209913521913
17	75.78688666162125	1352.0871277204121	72.9846127395787	0.0	79.23628191044725	75.78688666162125
18	75.76469410104548	1427.8518218214572	77.4963336355304	0.0	82.9413554931894	75.76469410104548
19	76.52116252449377	1504.3729843459514	82.88871472994553	0.0	86.33817655781289	76.52116252449377
20	75.8405957168703	1580.2135800628207	87.62580018292425	0.0	85.9708956440478	75.8405957168703
21	72.58741544734862	1652.8009955101704	88.96396195213572	0.0	89.22168322825905	72.58741544734862
22	76.82631442545522	1729.6273099356256	93.74383930068481	0.0	94.51607312834261	76.82631442545522
23	78.93295564871458	1808.5602655843397	102.08803169106393	0.0	103.98501852806329	78.93295564871458
24	71.69079428193321	1880.251059866273	102.44293611783125	0.0	106.61468684131574	71.69079428193321
25	74.29083370637733	1954.5418935726505	106.80563782098936	0.0	107.04403822872152	74.29083370637733
26	72.50842342524894	2027.0503169978997	109.29997612850342	0.0	108.19615143786336	72.50842342524894
