task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	75.40466815307282	75.40466815307282	4.126610705609734	0.0	17.581774514569528	75.40466815307282
1	74.81265829419078	150.21732644726362	6.531332864035558	0.0	28.24488200086568	74.81265829419078
2	75.29856637994818	225.51589282721164	12.007789942876675	0.0	33.49233803764689	75.29856637994818
3	78.24448343874867	303.76037626596036	19.151748403011535	0.0	43.48442170509807	78.24448343874867
4	78.54520070321831	382.30557696917873	26.57565395997061	0.0	53.401665484612266	78.54520070321831
5	73.69996658109035	456.00554355026924	29.518040992677175	0.0	59.07153286938702	73.69996658109035
6	76.49614530705531	532.5016888573241	34.975085859029086	0.0	64.2250380246948	76.49614530705531
7	73.54923195809441	606.0509208154186	36.98362017588418	0.0	64.14158283904143	73.54923195809441
8	77.70012873519366	683.7510495506125	42.87597457099237	0.0	66.32537467647393	77.70012873519366
9	74.41072137271205	758.1617709233245	44.953025248018776	0.0	73.99606197048264	74.41072137271205
10	74.21136872331765	832.3731396466421	47.42555840243318	0.0	77.62333402557782	74.21136872331765
11	75.85883930502793	908.2319789516705	52.4198575334406	0.0	84.71515176026297	75.85883930502793
12	73.9690464883925	982.2010254400624	56.1676786122883	0.0	86.46806712540916	73.9690464883925
13	79.32500569786288	1061.5260311379252	64.45495349598957	0.0	89.81669134305358	79.32500569786288
14	71.66519110723092	1133.191222245156	65.79006001309368	0.0	88.135311227032	71.66519110723092
15	74.93782300950413	1208.1290452546605	69.51437447054619	0.0	97.59136671363369	74.93782300950413
16	74.76844527339476	1282.897490528055	73.05592361357803	0.0	95.62357978634846	74.76844527339476
17	73.1712723501133	1356.0687628781689	75.94092818591744	0.0	97.65372453136109	73.1712723501133
18	75.91997456741328	1431.9887374455823	81.0012087830055	0.0	99.07425433725267	75.91997456741328
19	76.61026780421433	1508.5990052497968	86.18762974899768	0.0	104.14978417335537	76.61026780421433
20	73.47313504714396	1582.0721402969398	87.97223405930727	0.0	105.52111863208634	73.47313504714396
21	74.15244012801647	1656.2245804249565	92.22031188157092	0.0	106.03278164125206	74.15244012801647
22	82.40069371198977	1738.6252741369462	103.3414036772558	0.0	109.8513888051288	82.40069371198977
23	76.83514665881935	1815.4604207957652	108.61439628615561	0.0	117.05818666893258	76.83514665881935
24	71.17755665362107	1886.6379774493862	109.14441436713682	0.0	116.97918895796755	71.17755665362107
25	72.70850388901653	1959.3464813384032	109.99829081419979	0.0	117.80633836975659	72.70850388901653
26	74.914344282124	2034.2608256205274	113.59778129053608	0.0	120.13015130701275	74.914344282124
27	74.43251562340839	2108.6933412439357	116.85848687298311	0.0	121.90140603752472	74.43251562340839
