task	reward	total_reward	total_regret	relative	total_reward_dev	joules
0	75.80494897097984	75.80494897097984	4.671417405767765	0.0	24.80881743187608	75.80494897097984
1	88.08087622296074	163.88582519394058	22.8844589447823	0.0	42.93643632503856	88.08087622296074
2	79.16721086370472	243.05303605764516	29.589117049573932	0.0	51.25764625200751	79.16721086370472
3	81.49921273664756	324.5522487942927	39.71790359469078	0.0	59.13488486749172	81.49921273664756
4	82.76678528583015	407.3190340801228	52.330332358655795	0.0	69.97127639279617	82.76678528583015
5	78.5309876219559	485.8500217020785	60.16691354622179	0.0	74.49821189327544	78.5309876219559
6	80.04800906065593	565.8980307627344	69.44075196627145	0.0	76.81065448736184	80.04800906065593
7	80.56120024398402	646.4592310067186	79.06832028906084	0.0	83.34998084661704	80.56120024398402
8	75.00513659109026	721.4643675978087	82.23526109004185	0.0	86.61980061966575	75.00513659109026
9	81.01831284858366	802.4826804463925	92.61232223288522	0.0	97.54775296253713	81.01831284858366
10	81.40185783663355	883.8845382830258	104.60087564886635	0.0	106.91950495357482	81.40185783663355
11	79.2336917282284	963.118230011254	113.36753719869665	0.0	115.61149242386404	79.2336917282284
12	84.37821301171404	1047.4964430229684	126.28938672884262	0.0	123.52373696098445	84.37821301171404
13	80.4833247118145	1127.9797677347835	135.73989852780335	0.0	130.0487629947258	80.4833247118145
14	77.28924373546738	1205.26901147025	142.52508721975173	0.0	133.95326943221588	77.28924373546738
15	80.76865160920735	1286.0376630794574	153.01558393587794	0.0	138.0006739505937	80.76865160920735
16	80.08637748549353	1366.1240405649507	160.8099965210792	0.0	140.55483586061675	80.08637748549353
17	80.27870146711437	1446.4027420320654	169.46357141706747	0.0	153.11229950604576	80.27870146711437
18	75.94113619034843	1522.343878222413	175.43535595239894	0.0	160.26231632714274	75.94113619034843
19	80.59170920602207	1602.9355874284354	184.40510712128045	0.0	162.78453857056311	80.59170920602207
20	79.87152566806029	1682.8071130964966	193.58439098922804	0.0	169.67096421864994	79.87152566806029
21	83.29243540859702	1766.099548505093	206.2304066383528	0.0	169.18179168050003	83.29243540859702
22	78.56855580110881	1844.668104306202	214.73306197908224	0.0	167.80672033913652	78.56855580110881
23	79.00663451729345	1923.6747388234946	222.71287210049763	0.0	166.9778361823623	79.00663451729345
24	81.58920340078733	2005.263942224282	234.47891642458336	0.0	171.25018572218355	81.58920340078733
25	83.8513442475456	2089.115286471827	246.98218081315156	0.0	174.84527119479677	83.8513442475456
26	78.318944207207	2167.434230679035	253.20823501822397	0.0	173.49272655607047	78.318944207207
27	82.46544047724527	2249.89967115628	263.9846635995289	0.0	177.6998794534627	82.46544047724527
28	82.35536420873598	2332.2550353650163	275.98041617420233	0.0	180.1259516620117	82.35536420873598
29	84.59906317020815	2416.8540985352247	289.12453415025027	0.0	185.7900643961685	84.59906317020815
30	80.44364956640719	2497.2977481016324	298.70173929410777	0.0	186.42715830215332	80.44364956640719
31	78.23227995352654	2575.5300280551573	305.878365210461	0.0	190.75381146626907	78.23227995352654
32	82.35193540610226	2657.8819634612605	316.5312010749132	0.0	189.74341934452872	82.35193540610226
33	74.46093945118314	2732.3429029124445	320.32571843530866	0.0	193.75850139811644	74.46093945118314
34	87.53611297608906	2819.879015888532	337.22109632034903	0.0	200.52510533053749	87.53611297608906
35	76.99157281082137	2896.870588699354	342.551772258746	0.0	204.2212042418896	76.99157281082137
36	81.1072018604066	2977.9777905597603	352.6983979034243	0.0	203.0447844646389	81.1072018604066
37	79.44028534422014	3057.418075903982	360.56476645966757	0.0	202.5381597578875	79.44028534422014
38	81.28398816495559	3138.702064068936	371.133273886091	0.0	204.31051006943378	81.28398816495559
39	82.81721900842095	3221.519283077356	383.2021949566401	0.0	208.9974920942815	82.81721900842095
40	82.11403673509817	3303.633319812455	394.09984888651246	0.0	216.37862693773238	82.11403673509817
41	83.39351247528353	3387.0268322877378	406.4981831930911	0.0	212.63156269929743	83.39351247528353
42	79.56901185348312	3466.595844141221	414.93349801135724	0.0	214.65543509955188	79.56901185348312
43	79.53977007027068	3546.135614211492	423.26900120578057	0.0	211.7612608903791	79.53977007027068
44	74.95909130313274	3621.094705514625	428.22451875693366	0.0	209.98850991409972	74.95909130313274
45	79.5055647559313	3700.600270270557	436.8979090378343	0.0	213.2708578851573	79.5055647559313
46	79.33721055867832	3779.9374808292337	445.3414261672829	0.0	213.79450530594303	79.33721055867832
47	78.45923632811464	3858.396717157348	453.4160612857506	0.0	216.66818391885352	78.45923632811464
48	79.26174481273331	3937.658461970082	461.1345649521177	0.0	219.97595135002933	79.26174481273331
49	81.54634221596436	4019.2048041860485	472.289205003687	0.0	219.0354198732009	81.54634221596436
50	79.63584540783685	4098.8406495938825	480.74894440097324	0.0	214.23954395362804	79.63584540783685
51	80.04931633869002	4178.8899659325725	489.71487147530274	0.0	216.1977708841697	80.04931633869002
52	80.87965365118164	4259.7696195837525	499.2671111862559	0.0	215.59371429804116	80.87965365118164
53	78.70408622368058	4338.473705807435	505.8147151915613	0.0	218.69684139752604	78.70408622368058
54	81.1743535782042	4419.648059385639	516.6913639992702	0.0	223.885439260302	81.1743535782042
55	79.80691805134988	4499.454977436989	525.0220487425818	0.0	224.05108566531032	79.80691805134988
56	80.68359865117701	4580.138576088167	535.22998064305	0.0	224.0066699458922	80.68359865117701
57	79.93053216178501	4660.0691082499525	544.4457205415376	0.0	227.10541348454137	79.93053216178501
58	77.97994270150471	4738.0490509514575	550.4807406367596	0.0	229.75729044808895	77.97994270150471
59	79.98499476965947	4818.034045721117	559.5841460399497	0.0	235.74641704806584	79.98499476965947
60	78.83986157088825	4896.873907292005	566.2606389775366	0.0	233.3606573917167	78.83986157088825
61	82.95263942120846	4979.826546713214	578.7624637565414	0.0	235.7371208327402	82.95263942120846
62	78.95571176813668	5058.782258481349	587.1139809544432	0.0	237.43938044573693	78.95571176813668
63	77.57384741605348	5136.356105897402	594.0888055399687	0.0	238.7471522137804	77.57384741605348
64	78.1027453213834	5214.4588512187875	602.0752502665391	0.0	235.94858441952388	78.1027453213834
65	81.72945108047699	5296.188302299265	613.1643739505878	0.0	233.59260402036568	81.72945108047699
66	78.80544969237893	5374.993751991641	621.4681532747853	0.0	236.0797295473997	78.80544969237893
67	80.55101932329907	5455.544771314943	630.7519909742919	0.0	240.12616982391725	80.55101932329907
68	81.9584765525272	5537.503247867468	641.7082565173266	0.0	245.38403997753554	81.9584765525272
69	85.21712970416384	5622.7203775716325	656.0979470138075	0.0	249.3674722219431	85.21712970416384
70	85.4734588871662	5708.1938364588	670.8369269760292	0.0	240.26552033117147	85.4734588871662
71	87.49248108761103	5795.686317546413	688.0242333309445	0.0	235.27022824318752	87.49248108761103
72	87.33536031888792	5883.021677865298	704.9918110337338	0.0	236.47862757853832	87.33536031888792
73	78.02209661718925	5961.043774482489	712.0117156513292	0.0	238.31763888885322	78.02209661718925
74	79.80261645339814	6040.846390935884	720.7098579994449	0.0	243.8394853274014	79.80261645339814
75	77.82990060226311	6118.676291538145	727.69060883617	0.0	245.5247335343614	77.82990060226311
76	80.95100616613757	6199.627297704287	737.7721376061179	0.0	244.96404285862548	80.95100616613757
77	82.47596403203741	6282.103261736325	748.9633094058761	0.0	250.45377891730345	82.47596403203741
78	78.13682241839685	6360.240084154718	755.8229551467821	0.0	252.3960844967178	78.13682241839685
79	80.00259835603845	6440.242682510759	763.9517612867566	0.0	257.0020958417125	80.00259835603845
80	77.1707176531751	6517.413400163935	769.403392566979	0.0	261.8162064044271	77.1707176531751
81	80.5976085121034	6598.011008676038	779.345106770435	0.0	266.040627226342	80.5976085121034
82	81.38431594930472	6679.395324625344	789.527561102963	0.0	266.66413859874757	81.38431594930472
83	81.88743095097735	6761.282755576321	801.6897465268479	0.0	270.19044172475583	81.88743095097735
84	80.43215555709894	6841.714911133418	812.2363233948748	0.0	273.791287203525	80.43215555709894
85	79.74618554828656	6921.461096681705	819.8028829577188	0.0	275.2810119489466	79.74618554828656
86	80.6817030851797	7002.142799766887	829.1153606843627	0.0	278.5893854874847	80.6817030851797
87	81.71285475200592	7083.855654518888	839.379417175725	0.0	282.2463632110529	81.71285475200592
88	80.16680877540313	7164.022463294292	847.9305662446906	0.0	285.7942511216047	80.16680877540313
89	74.76936466775287	7238.791827962049	851.2623472931224	0.0	283.93863357885044	74.76936466775287
90	80.3513510440734	7319.1431790061215	859.3905306013125	0.0	282.4446921166348	80.3513510440734
91	82.61679714329676	7401.759976149416	870.1926382211525	0.0	284.4934445311888	82.61679714329676
92	78.24158346644982	7480.001559615867	876.821373205512	0.0	285.63790793599503	78.24158346644982
93	80.60016105421022	7560.601720670076	886.511143811982	0.0	287.4335242392769	80.60016105421022
94	82.12753612956199	7642.72925679964	896.2915542794376	0.0	291.4863071493561	82.12753612956199
95	80.80684153263901	7723.536098332281	905.6707309966092	0.0	297.8089630639629	80.80684153263901
96	81.4028063118389	7804.938904644117	915.6695784955364	0.0	299.5406963085968	81.4028063118389
97	82.68935292127327	7887.628257565388	926.884159900172	0.0	304.1431128155662	82.68935292127327
98	85.15151939347956	7972.779776958873	941.222116655614	0.0	301.35632354524336	85.15151939347956
99	78.0304828467055	8050.810259805581	948.7636042974879	0.0	304.0064583707904	78.0304828467055
